model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,3,4,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,3,4,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,3,4,100,0.5556
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,3,4,100,0.2700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,3,4,100,0.1900
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,4,4,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,4,4,100,0.7000
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,4,4,100,0.5800
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,4,4,100,0.2000
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,4,4,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,4,4,100,0.5152
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,4,4,100,0.1900
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,4,4,100,0.2200
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,0,0,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,0,0,100,0.7500
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,0,0,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,0,0,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,0,0,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,0,0,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,0,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,0,0,100,0.2100
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,1,0,100,0.3700
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,1,0,100,0.7000
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,1,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,1,0,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,1,0,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,1,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,1,0,100,0.4300
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,1,0,100,0.1600
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,2,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,2,0,100,0.6300
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,2,0,100,0.6100
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,2,0,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,2,0,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,2,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,2,0,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,2,0,100,0.2000
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,3,0,100,0.3300
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,3,0,100,0.7300
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,3,0,100,0.6500
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,3,0,100,0.3300
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,3,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,3,0,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,3,0,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,3,0,100,0.2700
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,4,0,100,0.3500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,4,0,100,0.6700
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,4,0,100,0.6000
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,4,0,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,4,0,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,4,0,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,4,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,4,0,100,0.2100
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,0,3,100,0.4900
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,0,3,100,0.7100
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,0,3,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,0,3,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,0,3,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,0,3,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,0,3,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,0,3,100,0.2000
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,1,3,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,1,3,100,0.6900
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,1,3,100,0.5600
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,1,3,100,0.3700
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,1,3,100,0.5700
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,1,3,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,1,3,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,1,3,100,0.2300
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,2,3,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,2,3,100,0.6600
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,2,3,100,0.6200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,2,3,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,2,3,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,2,3,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,2,3,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,2,3,100,0.1900
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,3,3,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,3,3,100,0.7100
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,3,3,100,0.6500
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,3,3,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,3,3,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,3,3,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,calibration,3,3,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,calibration,3,3,100,0.2100
FLAN-T5,google/flan-t5-xl,FP16,anli,16,calibration,4,3,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,calibration,4,3,100,0.7100
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,calibration,4,3,100,0.5700
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,calibration,4,3,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,calibration,4,3,100,0.4800
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,calibration,4,3,100,0.5300
