model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,language_modeling,4,0,100,0.2500
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,average_language_modeling,4,0,100,0.2300
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,0,0,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,0,0,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,0,0,100,0.2900
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,0,0,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,0,0,100,0.3500
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,0,0,100,0.2900
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,0,1,100,0.3200
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,0,1,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,0,1,100,0.2700
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,0,1,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,0,1,100,0.2800
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,0,1,100,0.3000
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,0,2,100,0.3100
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,0,2,100,0.3200
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,0,2,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,0,2,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,0,2,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,0,2,100,0.3300
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,0,3,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,0,3,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,0,3,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,0,3,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,0,3,100,0.4300
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,0,3,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,1,0,100,0.4300
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,1,0,100,0.4300
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,1,0,100,0.3700
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,1,0,100,0.2700
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,1,0,100,0.2900
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,1,0,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,1,1,100,0.2300
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,1,1,100,0.2600
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,1,1,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,1,1,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,1,1,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,1,1,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,1,2,100,0.5700
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,1,2,100,0.6700
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,1,2,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,1,2,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,1,2,100,0.2800
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,1,2,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,1,3,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,1,3,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,1,3,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,1,3,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,1,3,100,0.3500
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,1,3,100,0.5700
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,2,0,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,2,0,100,0.3500
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,2,0,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,2,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,2,0,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,2,0,100,0.2800
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,2,1,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,2,1,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,2,1,100,0.3200
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,2,1,100,0.3500
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,2,1,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,2,1,100,0.2900
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,2,2,100,0.5700
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,2,2,100,0.6200
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,2,2,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,2,2,100,0.5600
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,2,2,100,0.4800
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,2,2,100,0.2800
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,2,3,100,0.5900
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,2,3,100,0.5900
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,2,3,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,2,3,100,0.4800
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,2,3,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,2,3,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,3,0,100,0.4300
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,3,0,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,3,0,100,0.3700
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,3,0,100,0.3000
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,3,0,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,3,0,100,0.3000
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,3,1,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,3,1,100,0.3500
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,3,1,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,3,1,100,0.3700
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,3,1,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,3,1,100,0.2900
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,3,2,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,3,2,100,0.3500
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,3,2,100,0.3500
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,3,2,100,0.4300
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,3,2,100,0.3700
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,3,2,100,0.3800
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,3,3,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,3,3,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,3,3,100,0.3700
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,3,3,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,3,3,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,3,3,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,4,0,100,0.4900
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,4,0,100,0.3200
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,4,0,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,4,0,100,0.2800
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,4,0,100,0.3900
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,4,0,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,4,1,100,0.3600
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,4,1,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,4,1,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,4,1,100,0.4300
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,4,1,100,0.2700
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,4,1,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,4,2,100,0.6000
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,4,2,100,0.7000
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,4,2,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,4,2,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,4,2,100,0.2600
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,4,2,100,0.4100
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,language_modeling,4,3,100,0.6100
FLAN-T5,google/flan-t5-xl,FP16,anli_r1,16,average_language_modeling,4,3,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,language_modeling,4,3,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,anli_r2,16,average_language_modeling,4,3,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,language_modeling,4,3,100,0.3000
FLAN-T5,google/flan-t5-xl,FP16,anli_r3,16,average_language_modeling,4,3,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,language_modeling,0,0,100,0.6000
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,average_language_modeling,0,0,100,0.5800
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,0,0,100,0.4700
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,0,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,language_modeling,0,0,100,0.4900
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,average_language_modeling,0,0,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,language_modeling,1,0,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,average_language_modeling,1,0,100,0.5400
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,1,0,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,1,0,100,0.4800
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,language_modeling,1,0,100,0.4300
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,average_language_modeling,1,0,100,0.4400
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,language_modeling,2,0,100,0.5600
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,average_language_modeling,2,0,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,2,0,100,0.5100
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,2,0,100,0.4900
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,language_modeling,2,0,100,0.4900
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,average_language_modeling,2,0,100,0.5200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,language_modeling,3,0,100,0.5300
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,average_language_modeling,3,0,100,0.5500
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,3,0,100,0.4500
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,3,0,100,0.4000
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,language_modeling,3,0,100,0.4600
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,average_language_modeling,3,0,100,0.4200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,language_modeling,4,0,100,0.6200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_three_objects,16,average_language_modeling,4,0,100,0.5900
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,language_modeling,4,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,average_language_modeling,4,0,100,0.5000
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,language_modeling,4,0,100,0.4900
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_seven_objects,16,average_language_modeling,4,0,100,0.4800
Pythia,EleutherAI/pythia-2.8b,FP16,anli,16,language_modeling,0,0,100,0.3400
Pythia,EleutherAI/pythia-2.8b,FP16,anli,16,average_language_modeling,0,0,100,0.3500
Pythia,EleutherAI/pythia-2.8b,FP16,copa,16,language_modeling,0,0,100,0.8300
Pythia,EleutherAI/pythia-2.8b,FP16,copa,16,average_language_modeling,0,0,100,0.8000
Pythia,EleutherAI/pythia-2.8b,FP16,cqa,16,language_modeling,0,0,100,0.4700
Pythia,EleutherAI/pythia-2.8b,FP16,cqa,16,average_language_modeling,0,0,100,0.4200
Pythia,EleutherAI/pythia-2.8b,FP16,obqa,16,language_modeling,0,0,100,0.2300
Pythia,EleutherAI/pythia-2.8b,FP16,obqa,16,average_language_modeling,0,0,100,0.3900
Pythia,EleutherAI/pythia-2.8b,FP16,piqa,16,language_modeling,0,0,100,0.7200
Pythia,EleutherAI/pythia-2.8b,FP16,piqa,16,average_language_modeling,0,0,100,0.7500
Pythia,EleutherAI/pythia-2.8b,FP16,winogrande,16,language_modeling,0,0,100,0.5300
Pythia,EleutherAI/pythia-2.8b,FP16,winogrande,16,average_language_modeling,0,0,100,0.5500
Pythia,EleutherAI/pythia-2.8b,FP16,code_line_description,16,language_modeling,0,0,100,0.2414
Pythia,EleutherAI/pythia-2.8b,FP16,code_line_description,16,average_language_modeling,0,0,100,0.7759
Pythia,EleutherAI/pythia-2.8b,FP16,conceptual_combinations,16,language_modeling,0,0,100,0.4200
Pythia,EleutherAI/pythia-2.8b,FP16,conceptual_combinations,16,average_language_modeling,0,0,100,0.4800
Pythia,EleutherAI/pythia-2.8b,FP16,disambiguation_qa,16,language_modeling,0,0,100,0.3800
Pythia,EleutherAI/pythia-2.8b,FP16,disambiguation_qa,16,average_language_modeling,0,0,100,0.5100
Pythia,EleutherAI/pythia-2.8b,FP16,emoji_movie,16,language_modeling,0,0,100,0.3100
Pythia,EleutherAI/pythia-2.8b,FP16,emoji_movie,16,average_language_modeling,0,0,100,0.3100
Pythia,EleutherAI/pythia-2.8b,FP16,ruin_names,16,language_modeling,0,0,100,0.3900
Pythia,EleutherAI/pythia-2.8b,FP16,ruin_names,16,average_language_modeling,0,0,100,0.2700
Pythia,EleutherAI/pythia-2.8b,FP16,temporal_sequences,16,language_modeling,0,0,100,0.0200
Pythia,EleutherAI/pythia-2.8b,FP16,temporal_sequences,16,average_language_modeling,0,0,100,0.0200
Pythia,EleutherAI/pythia-2.8b,FP16,anli,16,language_modeling,1,0,100,0.3200
Pythia,EleutherAI/pythia-2.8b,FP16,anli,16,average_language_modeling,1,0,100,0.3500
Pythia,EleutherAI/pythia-2.8b,FP16,copa,16,language_modeling,1,0,100,0.7900
Pythia,EleutherAI/pythia-2.8b,FP16,copa,16,average_language_modeling,1,0,100,0.8100
Pythia,EleutherAI/pythia-2.8b,FP16,cqa,16,language_modeling,1,0,100,0.3600
Pythia,EleutherAI/pythia-2.8b,FP16,cqa,16,average_language_modeling,1,0,100,0.4200
Pythia,EleutherAI/pythia-2.8b,FP16,obqa,16,language_modeling,1,0,100,0.2000
Pythia,EleutherAI/pythia-2.8b,FP16,obqa,16,average_language_modeling,1,0,100,0.3600
Pythia,EleutherAI/pythia-2.8b,FP16,piqa,16,language_modeling,1,0,100,0.8000
Pythia,EleutherAI/pythia-2.8b,FP16,piqa,16,average_language_modeling,1,0,100,0.7700
Pythia,EleutherAI/pythia-2.8b,FP16,winogrande,16,language_modeling,1,0,100,0.4700
Pythia,EleutherAI/pythia-2.8b,FP16,winogrande,16,average_language_modeling,1,0,100,0.4000
Pythia,EleutherAI/pythia-2.8b,FP16,code_line_description,16,language_modeling,1,0,100,0.2414
Pythia,EleutherAI/pythia-2.8b,FP16,code_line_description,16,average_language_modeling,1,0,100,0.7759
Pythia,EleutherAI/pythia-2.8b,FP16,conceptual_combinations,16,language_modeling,1,0,100,0.4300
Pythia,EleutherAI/pythia-2.8b,FP16,conceptual_combinations,16,average_language_modeling,1,0,100,0.4800
Pythia,EleutherAI/pythia-2.8b,FP16,disambiguation_qa,16,language_modeling,1,0,100,0.3200
Pythia,EleutherAI/pythia-2.8b,FP16,disambiguation_qa,16,average_language_modeling,1,0,100,0.5700
Pythia,EleutherAI/pythia-2.8b,FP16,emoji_movie,16,language_modeling,1,0,100,0.3100
Pythia,EleutherAI/pythia-2.8b,FP16,emoji_movie,16,average_language_modeling,1,0,100,0.3000
Pythia,EleutherAI/pythia-2.8b,FP16,ruin_names,16,language_modeling,1,0,100,0.4700
Pythia,EleutherAI/pythia-2.8b,FP16,ruin_names,16,average_language_modeling,1,0,100,0.2600
